site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.7160017   0.6976793  -0.0241911
  2   0.8660254  -1.5000000  -0.5470918   0.8317633   0.0941290
  3   2.5980762  -0.5000000  -0.7413735   0.6710703  -0.0054674
  4   2.5980762  -1.5000000  -0.6636760   0.7234259   0.1902345
  5   4.3301270  -0.5000000  -0.6824160   0.7293999   0.0477923
  6   4.3301270  -1.5000000  -0.6469370   0.7617731   0.0342670
  7   6.0621778  -0.5000000  -0.7167015   0.6970663   0.0209176
  8   6.0621778  -1.5000000  -0.7772113   0.6268280   0.0550396
  9   7.7942286  -0.5000000  -0.6217671   0.7767120  -0.1006190
 10   7.7942286  -1.5000000  -0.6568204   0.7105776  -0.2523220
 11   9.5262794  -0.5000000  -0.7125883   0.7013824   0.0167536
 12   9.5262794  -1.5000000  -0.7126634   0.6996364  -0.0511846
 13  11.2583302  -0.5000000  -0.6559224   0.7542024  -0.0307336
 14  11.2583302  -1.5000000  -0.7386780   0.6736362  -0.0238565
 15  12.9903811  -0.5000000  -0.7330575   0.6618846  -0.1566381
 16  12.9903811  -1.5000000  -0.7949570   0.6001652  -0.0885725
 17  14.7224319  -0.5000000  -0.6580581   0.7529165  -0.0087376
 18  14.7224319  -1.5000000  -0.6736713   0.7316974  -0.1038551
 19  16.4544827  -0.5000000  -0.7039550   0.7071464  -0.0662680
 20  -0.8660254  -1.5000000  -0.6625373   0.7453257   0.0743906
 21  -0.0000000  -2.0000000  -0.6415246   0.7659212  -0.0425545
 22  -0.0000000  -3.0000000  -0.5810343   0.8108006  -0.0707217
 23   1.7320508  -2.0000000  -0.6359606   0.7604869   0.1312011
 24   1.7320508  -3.0000000  -0.6627965   0.7464304  -0.0595189
 25   3.4641016  -2.0000000  -0.7034973   0.7104319   0.0194437
 26   3.4641016  -3.0000000  -0.8013776   0.5936674   0.0731637
 27   5.1961524  -2.0000000  -0.7691850   0.6332815   0.0854928
 28   5.1961524  -3.0000000  -0.6767730   0.7204579  -0.1513892
 29   6.9282032  -2.0000000  -0.6205684   0.7820291   0.0576651
 30   6.9282032  -3.0000000  -0.6172134   0.7859492  -0.0364899
 31   8.6602540  -2.0000000  -0.6905662   0.7211176  -0.0557469
 32   8.6602540  -3.0000000  -0.6597544   0.7511237   0.0231798
 33  10.3923048  -2.0000000  -0.6816084   0.7317088   0.0034992
 34  10.3923048  -3.0000000  -0.6634279   0.7326991   0.1517083
 35  12.1243557  -2.0000000  -0.7323233   0.6800891  -0.0343714
 36  12.1243557  -3.0000000  -0.6182023   0.7807118   0.0911867
 37  13.8564065  -2.0000000  -0.6473285   0.7467186   0.1528956
 38  13.8564065  -3.0000000  -0.7271074   0.6792100   0.0999427
 39  15.5884573  -2.0000000  -0.6121055   0.7894917  -0.0450519
 40  -1.7320508  -3.0000000  -0.6486207   0.7606682  -0.0259827
 41  -0.8660254  -3.5000000  -0.5965290   0.7910944  -0.1353618
 42  -0.8660254  -4.5000000  -0.6376525   0.7689725   0.0456130
 43   0.8660254  -3.5000000  -0.5795880   0.8052812  -0.1248995
 44   0.8660254  -4.5000000  -0.5259314   0.8339202  -0.1672519
 45   2.5980762  -3.5000000  -0.7500833   0.6581323   0.0650912
 46   2.5980762  -4.5000000  -0.6878303   0.7203377   0.0894598
 47   4.3301270  -3.5000000  -0.6139062   0.7883074   0.0411160
 48   4.3301270  -4.5000000  -0.7204442   0.6904851  -0.0647338
 49   6.0621778  -3.5000000  -0.6475953   0.7602275  -0.0517155
 50   6.0621778  -4.5000000  -0.5755860   0.8174264  -0.0226905
 51   7.7942286  -3.5000000  -0.6331163   0.7589953  -0.1519535
 52   7.7942286  -4.5000000  -0.6214103   0.7782411  -0.0904983
 53   9.5262794  -3.5000000  -0.7037126   0.7036977   0.0979699
 54   9.5262794  -4.5000000  -0.7518376   0.6568645   0.0571772
 55  11.2583302  -3.5000000  -0.6831647   0.7204520   0.1193106
 56  11.2583302  -4.5000000  -0.5933463   0.8048714  -0.0110537
 57  12.9903811  -3.5000000  -0.6896052   0.7171919   0.1004015
 58  12.9903811  -4.5000000  -0.8219374   0.5598002   0.1050838
 59  14.7224319  -3.5000000  -0.6802798   0.7310039   0.0534097
 60  -2.5980762  -4.5000000  -0.6568430   0.7492045  -0.0851464
 61  -1.7320508  -5.0000000  -0.7110894   0.6979558   0.0849092
 62  -1.7320508  -6.0000000  -0.6757980   0.7359808   0.0403665
 63  -0.0000000  -5.0000000  -0.5832714   0.8118873  -0.0251712
 64  -0.0000000  -6.0000000  -0.5556007   0.8313939   0.0095975
 65   1.7320508  -5.0000000  -0.7128462   0.6991583  -0.0550263
 66   1.7320508  -6.0000000  -0.7486480   0.6591515  -0.0710311
 67   3.4641016  -5.0000000  -0.6099052   0.7764626   0.1584976
 68   3.4641016  -6.0000000  -0.6427739   0.7654889   0.0294702
 69   5.1961524  -5.0000000  -0.7192568   0.6945495   0.0164504
 70   5.1961524  -6.0000000  -0.7605809   0.6469061   0.0550377
 71   6.9282032  -5.0000000  -0.6061194   0.7854039  -0.1255384
 72   6.9282032  -6.0000000  -0.6099255   0.7908615  -0.0502882
 73   8.6602540  -5.0000000  -0.7475512   0.6636294  -0.0276253
 74   8.6602540  -6.0000000  -0.7530884   0.6554392  -0.0570726
 75  10.3923048  -5.0000000  -0.5635277   0.8181825   0.1140786
 76  10.3923048  -6.0000000  -0.6739216   0.7380213   0.0339741
 77  12.1243557  -5.0000000  -0.7185807   0.6915662  -0.0733347
 78  12.1243557  -6.0000000  -0.5765430   0.8170247   0.0082955
 79  13.8564065  -5.0000000  -0.6397901   0.7681886  -0.0235554
 80  -3.4641016  -6.0000000  -0.7115466   0.6992343  -0.0690852
 81  -2.5980762  -6.5000000  -0.7227831   0.6888894  -0.0549173
 82  -2.5980762  -7.5000000  -0.7231210   0.6886709  -0.0531826
 83  -0.8660254  -6.5000000  -0.5930639   0.8050117   0.0152132
 84  -0.8660254  -7.5000000  -0.5961870   0.8028443   0.0014616
 85   0.8660254  -6.5000000  -0.7545411   0.6191254   0.2176041
 86   0.8660254  -7.5000000  -0.7600711   0.6429423   0.0944307
 87   2.5980762  -6.5000000  -0.7235040   0.6895893   0.0317582
 88   2.5980762  -7.5000000  -0.7407152   0.6697747  -0.0523721
 89   4.3301270  -6.5000000  -0.7504853   0.6586688  -0.0541041
 90   4.3301270  -7.5000000  -0.6772653   0.7350352  -0.0321705
 91   6.0621778  -6.5000000  -0.7047225   0.7066965   0.0628199
 92   6.0621778  -7.5000000  -0.6776291   0.7353635  -0.0077023
 93   7.7942286  -6.5000000  -0.6658663   0.7457085   0.0232586
 94   7.7942286  -7.5000000  -0.4993194   0.8626529  -0.0806853
 95   9.5262794  -6.5000000  -0.6934684   0.7074095   0.1366505
 96   9.5262794  -7.5000000  -0.6608545   0.7455300   0.0863509
 97  11.2583302  -6.5000000  -0.7176791   0.6960719  -0.0205096
 98  11.2583302  -7.5000000  -0.6730191   0.7284362   0.1281636
 99  12.9903811  -6.5000000  -0.7503683   0.6607623   0.0184522
100  -4.3301270  -7.5000000  -0.6918255   0.7209210  -0.0406243
101  -3.4641016  -8.0000000  -0.6605526   0.7494342  -0.0449292
102  -3.4641016  -9.0000000  -0.6244741   0.7809525  -0.0120548
103  -1.7320508  -8.0000000  -0.5749586   0.8179048  -0.0213151
104  -1.7320508  -9.0000000  -0.6431123   0.7651526   0.0307899
105  -0.0000000  -8.0000000  -0.6557583   0.7514011   0.0733308
106  -0.0000000  -9.0000000  -0.6321637   0.7747553  -0.0111068
107   1.7320508  -8.0000000  -0.7165826   0.6972715   0.0179400
108   1.7320508  -9.0000000  -0.6922366   0.7186371   0.0660994
109   3.4641016  -8.0000000  -0.5934291   0.8046365  -0.0200505
110   3.4641016  -9.0000000  -0.6552698   0.7547548  -0.0310926
111   5.1961524  -8.0000000  -0.5612077   0.8255283   0.0595732
