site number 	 x-coord 	 y-cord 	 sx 	 sy 	 sy
  1   0.8660254  -0.5000000  -0.6464669   0.7623114   0.0310149
  2   0.8660254  -1.5000000  -0.6871677   0.7217242   0.0831554
  3   2.5980762  -0.5000000  -0.6769296   0.7270626   0.1146572
  4   2.5980762  -1.5000000  -0.7610287   0.6449136   0.0701546
  5   4.3301270  -0.5000000  -0.6836351   0.7249011  -0.0846255
  6   4.3301270  -1.5000000  -0.6724332   0.7381961   0.0538528
  7   6.0621778  -0.5000000  -0.7422840   0.6697918  -0.0198335
  8   6.0621778  -1.5000000  -0.7407359   0.6709982   0.0327375
  9   7.7942286  -0.5000000  -0.6530380   0.7568133  -0.0278367
 10   7.7942286  -1.5000000  -0.6563219   0.7528860   0.0490318
 11   9.5262794  -0.5000000  -0.7081508   0.7060367  -0.0058878
 12   9.5262794  -1.5000000  -0.7520518   0.6584803  -0.0286653
 13  11.2583302  -0.5000000  -0.7970161   0.6038683  -0.0104131
 14  11.2583302  -1.5000000  -0.6998938   0.7135565   0.0313967
 15  12.9903811  -0.5000000  -0.7260081   0.6812008   0.0942213
 16  12.9903811  -1.5000000  -0.7272196   0.6802652   0.0916019
 17  14.7224319  -0.5000000  -0.6947359   0.7156462  -0.0720591
 18  14.7224319  -1.5000000  -0.7065081   0.7050865   0.0608221
 19  16.4544827  -0.5000000  -0.7269898   0.6827881   0.0727064
 20  -0.8660254  -1.5000000  -0.7333828   0.6796767  -0.0137541
 21  -0.0000000  -2.0000000  -0.6838834   0.7295500  -0.0077644
 22  -0.0000000  -3.0000000  -0.6902567   0.7205220   0.0662855
 23   1.7320508  -2.0000000  -0.6733728   0.7374323   0.0525618
 24   1.7320508  -3.0000000  -0.6575374   0.7492277   0.0793873
 25   3.4641016  -2.0000000  -0.6880944   0.7251631  -0.0257786
 26   3.4641016  -3.0000000  -0.6260103   0.7797990  -0.0049502
 27   5.1961524  -2.0000000  -0.7487882   0.6615862   0.0402498
 28   5.1961524  -3.0000000  -0.7538309   0.6414653  -0.1423423
 29   6.9282032  -2.0000000  -0.7394893   0.6703525   0.0615065
 30   6.9282032  -3.0000000  -0.6963764   0.7172416   0.0249866
 31   8.6602540  -2.0000000  -0.6661649   0.7440809   0.0506750
 32   8.6602540  -3.0000000  -0.7215542   0.6783228  -0.1386999
 33  10.3923048  -2.0000000  -0.6990459   0.7150509   0.0060870
 34  10.3923048  -3.0000000  -0.6973658   0.7166533  -0.0094338
 35  12.1243557  -2.0000000  -0.6979932   0.7026913  -0.1379510
 36  12.1243557  -3.0000000  -0.7598396   0.6405195   0.1112592
 37  13.8564065  -2.0000000  -0.6926506   0.7201815  -0.0396697
 38  13.8564065  -3.0000000  -0.6726784   0.7399299   0.0027568
 39  15.5884573  -2.0000000  -0.7110756   0.6993811   0.0723718
 40  -1.7320508  -3.0000000  -0.6568746   0.7478721   0.0959326
 41  -0.8660254  -3.5000000  -0.6536423   0.7445354   0.1357159
 42  -0.8660254  -4.5000000  -0.7380720   0.6746474   0.0100327
 43   0.8660254  -3.5000000  -0.6485975   0.7608911   0.0191339
 44   0.8660254  -4.5000000  -0.7065624   0.6898220  -0.1578454
 45   2.5980762  -3.5000000  -0.5932580   0.8012484   0.0777557
 46   2.5980762  -4.5000000  -0.7566041   0.6537814  -0.0109586
 47   4.3301270  -3.5000000  -0.6766839   0.7362628  -0.0040043
 48   4.3301270  -4.5000000  -0.7099953   0.7037390  -0.0256527
 49   6.0621778  -3.5000000  -0.4983788   0.8669590   0.0007791
 50   6.0621778  -4.5000000  -0.6570978   0.7527487   0.0398976
 51   7.7942286  -3.5000000  -0.7289786   0.6838393   0.0308868
 52   7.7942286  -4.5000000  -0.7581072   0.6518322   0.0197037
 53   9.5262794  -3.5000000  -0.7105617   0.6936310  -0.1182293
 54   9.5262794  -4.5000000  -0.6476237   0.7408302  -0.1781969
 55  11.2583302  -3.5000000  -0.7010365   0.7059940   0.1006001
 56  11.2583302  -4.5000000  -0.7669076   0.6318850   0.1121342
 57  12.9903811  -3.5000000  -0.6483482   0.7612166  -0.0139255
 58  12.9903811  -4.5000000  -0.6586053   0.7499850  -0.0613323
 59  14.7224319  -3.5000000  -0.7548099   0.6496827  -0.0904123
 60  -2.5980762  -4.5000000  -0.7318289   0.6693364  -0.1281223
 61  -1.7320508  -5.0000000  -0.7502336   0.6584274  -0.0601901
 62  -1.7320508  -6.0000000  -0.7499041   0.6584418  -0.0640172
 63  -0.0000000  -5.0000000  -0.6695655   0.7414269   0.0443631
 64  -0.0000000  -6.0000000  -0.6344013   0.7451353   0.2056900
 65   1.7320508  -5.0000000  -0.7090931   0.7024993  -0.0606770
 66   1.7320508  -6.0000000  -0.7438414   0.6678629  -0.0256721
 67   3.4641016  -5.0000000  -0.6620436   0.7452706  -0.0791838
 68   3.4641016  -6.0000000  -0.7151904   0.6985688  -0.0224578
 69   5.1961524  -5.0000000  -0.7043329   0.7095418   0.0215798
 70   5.1961524  -6.0000000  -0.7356248   0.6451818   0.2063894
 71   6.9282032  -5.0000000  -0.7180260   0.6935170   0.0589313
 72   6.9282032  -6.0000000  -0.7019369   0.7102823   0.0527602
 73   8.6602540  -5.0000000  -0.7165613   0.6971785  -0.0219567
 74   8.6602540  -6.0000000  -0.6928068   0.7211198  -0.0022180
 75  10.3923048  -5.0000000  -0.7970681   0.5999152  -0.0691678
 76  10.3923048  -6.0000000  -0.6884842   0.7192417  -0.0931717
 77  12.1243557  -5.0000000  -0.7684113   0.6399529   0.0021082
 78  12.1243557  -6.0000000  -0.8369024   0.5292380   0.1396477
 79  13.8564065  -5.0000000  -0.7092237   0.7036451   0.0434210
 80  -3.4641016  -6.0000000  -0.7185342   0.6944200  -0.0385942
 81  -2.5980762  -6.5000000  -0.7362114   0.6766829   0.0096501
 82  -2.5980762  -7.5000000  -0.7037941   0.7101523  -0.0189108
 83  -0.8660254  -6.5000000  -0.6849559   0.7281941  -0.0238488
 84  -0.8660254  -7.5000000  -0.7532035   0.6569563  -0.0330601
 85   0.8660254  -6.5000000  -0.7144635   0.6996690  -0.0022785
 86   0.8660254  -7.5000000  -0.7696232   0.6360664   0.0556749
 87   2.5980762  -6.5000000  -0.7983364   0.6021234  -0.0103188
 88   2.5980762  -7.5000000  -0.7436722   0.6648937   0.0697713
 89   4.3301270  -6.5000000  -0.7455639   0.6530014   0.1331301
 90   4.3301270  -7.5000000  -0.7183963   0.6907472   0.0823106
 91   6.0621778  -6.5000000  -0.7235558   0.6436708   0.2493091
 92   6.0621778  -7.5000000  -0.7356705   0.6590668   0.1562686
 93   7.7942286  -6.5000000  -0.7042593   0.7048715   0.0847049
 94   7.7942286  -7.5000000  -0.7182793   0.6910360   0.0808958
 95   9.5262794  -6.5000000  -0.7521122   0.6587745   0.0185321
 96   9.5262794  -7.5000000  -0.8228608   0.5667595   0.0410324
 97  11.2583302  -6.5000000  -0.7213643   0.6925497  -0.0029111
 98  11.2583302  -7.5000000  -0.7249821   0.6837517   0.0829733
 99  12.9903811  -6.5000000  -0.6679454   0.7342307   0.1214667
100  -4.3301270  -7.5000000  -0.6598747   0.7499028   0.0470239
101  -3.4641016  -8.0000000  -0.7082034   0.7004493   0.0884231
102  -3.4641016  -9.0000000  -0.7334574   0.6778760   0.0502433
103  -1.7320508  -8.0000000  -0.7287666   0.6835183  -0.0412541
104  -1.7320508  -9.0000000  -0.7658917   0.6428824   0.0105895
105  -0.0000000  -8.0000000  -0.6952646   0.7170370  -0.0496504
106  -0.0000000  -9.0000000  -0.7771516   0.6281457  -0.0383201
107   1.7320508  -8.0000000  -0.6695886   0.7416419   0.0402284
108   1.7320508  -9.0000000  -0.5924671   0.8025870   0.0695468
109   3.4641016  -8.0000000  -0.6769502   0.7355685  -0.0260280
110   3.4641016  -9.0000000  -0.6513320   0.7573996   0.0459619
111   5.1961524  -8.0000000  -0.6389450   0.7593737   0.1228852
112   5.1961524  -9.0000000  -0.6072516   0.7919958   0.0631527
113   6.9282032  -8.0000000  -0.7778963   0.6283242   0.0092763
114   6.9282032  -9.0000000  -0.7036185   0.7024435   0.1072111
115   8.6602540  -8.0000000  -0.7262889   0.6873864  -0.0020711
116   8.6602540  -9.0000000  -0.8107074   0.5839117  -0.0424343
117  10.3923048  -8.0000000  -0.7493652   0.6457891   0.1463154
118  10.3923048  -9.0000000  -0.7750721   0.6158780   0.1412715
119  12.1243557  -8.0000000  -0.7013739   0.7100848   0.0620831
120  -5.1961524  -9.0000000  -0.7651320   0.6387164   0.0813287
121  -4.3301270  -9.5000000  -0.7040912   0.6860002  -0.1834649
122  -4.3301270 -10.5000000  -0.5468333   0.8366059  -0.0326171
123  -2.5980762  -9.5000000  -0.7300412   0.6792367   0.0753477
124  -2.5980762 -10.5000000  -0.7263776   0.6849187   0.0571140
125  -0.8660254  -9.5000000  -0.6570753   0.7527818   0.0396432
126  -0.8660254 -10.5000000  -0.7201692   0.6914172   0.0574331
127   0.8660254  -9.5000000  -0.7996076   0.5999039   0.0272594
128   0.8660254 -10.5000000  -0.6541274   0.7562857  -0.0122170
129   2.5980762  -9.5000000  -0.7097184   0.6973890  -0.0997413
130   2.5980762 -10.5000000  -0.6983947   0.7103206  -0.0876895
131   4.3301270  -9.5000000  -0.7182545   0.6912709  -0.0790889
132   4.3301270 -10.5000000  -0.7111317   0.6896458  -0.1366764
133   6.0621778  -9.5000000  -0.7885441   0.6147120   0.0180936
134   6.0621778 -10.5000000  -0.6882756   0.7114258   0.1419506
135   7.7942286  -9.5000000  -0.8224884   0.5671585   0.0429429
136   7.7942286 -10.5000000  -0.6967070   0.7166837   0.0310460
137   9.5262794  -9.5000000  -0.7255049   0.6846250   0.0702235
138   9.5262794 -10.5000000  -0.6745963   0.7379309   0.0194373
139  11.2583302  -9.5000000  -0.7113848   0.7007071   0.0542331
140  -6.0621778 -10.5000000  -0.7268560   0.6862653   0.0268390
141  -5.1961524 -11.0000000  -0.5664902   0.8224962   0.0508800
142  -5.1961524 -12.0000000  -0.5651631   0.8050105  -0.1804125
143  -3.4641016 -11.0000000  -0.6470237   0.7615985  -0.0364415
144  -3.4641016 -12.0000000  -0.6248184   0.7800842   0.0327205
145  -1.7320508 -11.0000000  -0.7888008   0.6101629   0.0741243
146  -1.7320508 -12.0000000  -0.7244916   0.6730051   0.1489164
147  -0.0000000 -11.0000000  -0.6857368   0.7268528   0.0380785
148  -0.0000000 -12.0000000  -0.7314061   0.6810717  -0.0344459
149   1.7320508 -11.0000000  -0.6325017   0.7739370  -0.0310349
150   1.7320508 -12.0000000  -0.6863749   0.7249091  -0.0582775
151   3.4641016 -11.0000000  -0.7018755   0.7105893  -0.0493328
152   3.4641016 -12.0000000  -0.6547357   0.7477482   0.1104257
153   5.1961524 -11.0000000  -0.6448948   0.7640749  -0.0173298
154   5.1961524 -12.0000000  -0.7879197   0.6147962   0.0347605
155   6.9282032 -11.0000000  -0.6773232   0.7316151   0.0772821
156   6.9282032 -12.0000000  -0.6379810   0.7687982   0.0439277
157   8.6602540 -11.0000000  -0.6176763   0.7843997   0.0565074
158   8.6602540 -12.0000000  -0.7968376   0.5751348   0.1851207
159  10.3923048 -11.0000000  -0.7221804   0.6914660   0.0181717
160  -6.9282032 -12.0000000  -0.6534692   0.7320474   0.1925734
161  -6.0621778 -12.5000000  -0.6388252   0.7542612   0.1516327
162  -6.0621778 -13.5000000  -0.7182014   0.6955892   0.0185048
163  -4.3301270 -12.5000000  -0.6234901   0.7769998  -0.0867833
164  -4.3301270 -13.5000000  -0.6693215   0.7306197  -0.1349208
165  -2.5980762 -12.5000000  -0.6962353   0.7148202  -0.0654869
166  -2.5980762 -13.5000000  -0.7324809   0.6611295  -0.1624180
167  -0.8660254 -12.5000000  -0.7515967   0.6584572   0.0391986
168  -0.8660254 -13.5000000  -0.6719076   0.7399750   0.0312597
169   0.8660254 -12.5000000  -0.5530857   0.8327376   0.0253833
170   0.8660254 -13.5000000  -0.5572483   0.8174899  -0.1455493
171   2.5980762 -12.5000000  -0.6899767   0.7173091  -0.0969527
172   2.5980762 -13.5000000  -0.7276107   0.6855773   0.0238003
173   4.3301270 -12.5000000  -0.8069894   0.5905579  -0.0030716
174   4.3301270 -13.5000000  -0.7215539   0.6861566   0.0924614
175   6.0621778 -12.5000000  -0.7069364   0.7041188   0.0667663
176   6.0621778 -13.5000000  -0.7114965   0.7002201   0.0588610
177   7.7942286 -12.5000000  -0.7064847   0.7030644  -0.0811154
178   7.7942286 -13.5000000  -0.6034208   0.7973202  -0.0128016
