qx	 qy 	 Sq 	  Sq-squared 
   0.0000000   0.0000000   0.4300017   0.1849015
   0.0000000   0.6283185   0.2164215   0.0468383
   0.0000000   1.2566371   0.1011944   0.0102403
   0.0000000   1.8849556   0.0879885   0.0077420
   0.0000000   2.5132741   0.0931113   0.0086697
   0.0000000   3.1415927   0.0741360   0.0054962
   0.0000000   3.7699112   0.2277052   0.0518497
   0.0000000   4.3982297   0.1588341   0.0252283
   0.0000000   5.0265482   0.0472498   0.0022325
   0.0000000   5.6548668   0.0393631   0.0015495
   0.0000000   6.2831853   0.1111153   0.0123466
   0.6283185   0.0000000   0.0420922   0.0017718
   0.6283185   0.6283185   0.1629052   0.0265381
   0.6283185   1.2566371   0.1358475   0.0184545
   0.6283185   1.8849556   0.1029434   0.0105974
   0.6283185   2.5132741   0.0621670   0.0038647
   0.6283185   3.1415927   0.0426656   0.0018204
   0.6283185   3.7699112   0.0869399   0.0075585
   0.6283185   4.3982297   0.0748172   0.0055976
   0.6283185   5.0265482   0.0652114   0.0042525
   0.6283185   5.6548668   0.1080544   0.0116758
   0.6283185   6.2831853   0.0794912   0.0063188
   1.2566371   0.0000000   0.1394145   0.0194364
   1.2566371   0.6283185   0.0323500   0.0010465
   1.2566371   1.2566371   0.1588434   0.0252312
   1.2566371   1.8849556   0.2041890   0.0416932
   1.2566371   2.5132741   0.1646935   0.0271239
   1.2566371   3.1415927   0.0932045   0.0086871
   1.2566371   3.7699112   0.0876213   0.0076775
   1.2566371   4.3982297   0.1343788   0.0180577
   1.2566371   5.0265482   0.0140363   0.0001970
   1.2566371   5.6548668   0.1064450   0.0113305
   1.2566371   6.2831853   0.0501893   0.0025190
   1.8849556   0.0000000   0.1043376   0.0108863
   1.8849556   0.6283185   0.1084976   0.0117717
   1.8849556   1.2566371   0.0960893   0.0092332
   1.8849556   1.8849556   0.0907669   0.0082386
   1.8849556   2.5132741   0.1843210   0.0339742
   1.8849556   3.1415927   0.0351056   0.0012324
   1.8849556   3.7699112   0.0803227   0.0064517
   1.8849556   4.3982297   0.0710975   0.0050549
   1.8849556   5.0265482   0.1968762   0.0387602
   1.8849556   5.6548668   0.1893780   0.0358640
   1.8849556   6.2831853   0.1885528   0.0355522
   2.5132741   0.0000000   0.0580716   0.0033723
   2.5132741   0.6283185   0.1608584   0.0258754
   2.5132741   1.2566371   0.0362461   0.0013138
   2.5132741   1.8849556   0.1128803   0.0127420
   2.5132741   2.5132741   0.1294513   0.0167576
   2.5132741   3.1415927   0.1188200   0.0141182
   2.5132741   3.7699112   0.1925669   0.0370820
   2.5132741   4.3982297   0.1536981   0.0236231
   2.5132741   5.0265482   0.1785521   0.0318808
   2.5132741   5.6548668   0.0629410   0.0039616
   2.5132741   6.2831853   0.1280910   0.0164073
   3.1415927   0.0000000   0.0270906   0.0007339
   3.1415927   0.6283185   0.1054615   0.0111221
   3.1415927   1.2566371   0.0732082   0.0053594
   3.1415927   1.8849556   0.0466998   0.0021809
   3.1415927   2.5132741   0.1539301   0.0236945
   3.1415927   3.1415927   0.0608257   0.0036998
   3.1415927   3.7699112   0.1072912   0.0115114
   3.1415927   4.3982297   0.0958250   0.0091824
   3.1415927   5.0265482   0.1668559   0.0278409
   3.1415927   5.6548668   0.0700063   0.0049009
   3.1415927   6.2831853   0.0897190   0.0080495
   3.7699112   0.0000000   0.2094662   0.0438761
   3.7699112   0.6283185   0.1238539   0.0153398
   3.7699112   1.2566371   0.1184592   0.0140326
   3.7699112   1.8849556   0.1136627   0.0129192
   3.7699112   2.5132741   0.2580349   0.0665820
   3.7699112   3.1415927   0.0968224   0.0093746
   3.7699112   3.7699112   0.1592685   0.0253665
   3.7699112   4.3982297   0.1853578   0.0343575
   3.7699112   5.0265482   0.1204898   0.0145178
   3.7699112   5.6548668   0.1492392   0.0222723
   3.7699112   6.2831853   0.3307243   0.1093786
   4.3982297   0.0000000   0.1128981   0.0127460
   4.3982297   0.6283185   0.1643473   0.0270100
   4.3982297   1.2566371   0.1739495   0.0302584
   4.3982297   1.8849556   0.0966576   0.0093427
   4.3982297   2.5132741   0.0718093   0.0051566
   4.3982297   3.1415927   0.1160978   0.0134787
   4.3982297   3.7699112   0.1818612   0.0330735
   4.3982297   4.3982297   0.0920487   0.0084730
   4.3982297   5.0265482   0.1608401   0.0258696
   4.3982297   5.6548668   0.1073375   0.0115213
   4.3982297   6.2831853   0.0983181   0.0096664
   5.0265482   0.0000000   0.1140891   0.0130163
   5.0265482   0.6283185   0.1723417   0.0297017
   5.0265482   1.2566371   0.2433739   0.0592309
   5.0265482   1.8849556   0.1434936   0.0205904
   5.0265482   2.5132741   0.1177752   0.0138710
   5.0265482   3.1415927   0.2242447   0.0502857
   5.0265482   3.7699112   0.0959607   0.0092084
   5.0265482   4.3982297   0.2278714   0.0519254
   5.0265482   5.0265482   0.0585840   0.0034321
   5.0265482   5.6548668   0.2443475   0.0597057
   5.0265482   6.2831853   0.2234648   0.0499365
   5.6548668   0.0000000   0.2499044   0.0624522
   5.6548668   0.6283185   0.2843375   0.0808478
   5.6548668   1.2566371   0.1693418   0.0286766
   5.6548668   1.8849556   0.2598241   0.0675086
   5.6548668   2.5132741   0.0625121   0.0039078
   5.6548668   3.1415927   0.0726333   0.0052756
   5.6548668   3.7699112   0.0861819   0.0074273
   5.6548668   4.3982297   0.3307563   0.1093997
   5.6548668   5.0265482   0.2531300   0.0640748
   5.6548668   5.6548668   0.1277966   0.0163320
   5.6548668   6.2831853   0.0472395   0.0022316
   6.2831853   0.0000000   0.0523397   0.0027394
   6.2831853   0.6283185   0.0422052   0.0017813
