theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
0.0000  -0.0872220   0.0872220   0.1326563  -0.0442188   0.0000558   0.0000334   0.0000682
0.0314  -0.0865016   0.0742723   0.1405105  -0.0549897   0.0000576   0.0000327   0.0000713
0.0628  -0.0872764   0.0628711   0.1501055  -0.0663053   0.0000579   0.0000332   0.0000709
0.0942  -0.0888073   0.0521862   0.1593638  -0.0775354   0.0000579   0.0000336   0.0000713
0.1257  -0.0877301   0.0391957   0.1665485  -0.0878724   0.0000587   0.0000326   0.0000725
0.1571  -0.0874181   0.0270911   0.1739032  -0.0981857   0.0000575   0.0000322   0.0000699
0.1885  -0.0875498   0.0155667   0.1815546  -0.1085070   0.0000588   0.0000310   0.0000717
0.2199  -0.0878406   0.0042485   0.1886414  -0.1186085   0.0000554   0.0000330   0.0000674
0.2513  -0.0872128  -0.0074846   0.1945934  -0.1279960   0.0000572   0.0000319   0.0000696
0.2827  -0.0883833  -0.0176077   0.2021982  -0.1380601   0.0000606   0.0000318   0.0000732
0.3142  -0.0873869  -0.0291477   0.2062589  -0.1464426   0.0000615   0.0000332   0.0000749
0.3456  -0.0875234  -0.0394214   0.2118842  -0.1552579   0.0000603   0.0000332   0.0000729
theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
