theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  0.00  -0.0071266   0.0071266   0.0068390  -0.0022797   0.0000543   0.0000570   0.0000898
  0.03  -0.0180712  -0.0057695   0.0186140  -0.0220984   0.0000550   0.0000555   0.0000891
  0.06  -0.0294549  -0.0181883   0.0306181  -0.0419682   0.0000564   0.0000563   0.0000880
  0.09  -0.0416511  -0.0297372   0.0417503  -0.0615090   0.0000543   0.0000526   0.0000880
  0.13  -0.0532607  -0.0417602   0.0539349  -0.0813256   0.0000566   0.0000533   0.0000877
  0.16  -0.0668228  -0.0516627   0.0658941  -0.1009551   0.0000568   0.0000522   0.0000877
  0.19  -0.0783448  -0.0634211   0.0774849  -0.1203389   0.0000585   0.0000520   0.0000877
  0.22  -0.0936877  -0.0711936   0.0896894  -0.1398173   0.0000586   0.0000520   0.0000872
  0.25  -0.1050289  -0.0826042   0.0996993  -0.1583218   0.0000578   0.0000494   0.0000885
  0.28  -0.1193595  -0.0907871   0.1132085  -0.1778339   0.0000615   0.0000515   0.0000927
  0.31  -0.1310651  -0.1012094   0.1220965  -0.1955485   0.0000664   0.0000521   0.0000927
  0.35  -0.1452259  -0.1089365   0.1360925  -0.2148057   0.0000620   0.0000487   0.0000906
  0.38  -0.1583805  -0.1171474   0.1458890  -0.2323149   0.0000658   0.0000486   0.0000921
  0.41  -0.1715720  -0.1246242   0.1555593  -0.2493172   0.0000667   0.0000492   0.0000923
  0.44  -0.1855683  -0.1312291   0.1683435  -0.2673127   0.0000652   0.0000467   0.0000916
  0.47  -0.1999574  -0.1369647   0.1817495  -0.2851979   0.0000682   0.0000479   0.0000941
  0.50  -0.2132138  -0.1426543   0.1880292  -0.2999218   0.0000675   0.0000465   0.0000899
  0.53  -0.2275034  -0.1474164   0.2012258  -0.3170218   0.0000717   0.0000459   0.0000938
  0.57  -0.2408247  -0.1523206   0.2127372  -0.3330093   0.0000705   0.0000457   0.0000923
  0.60  -0.2544080  -0.1558681   0.2216371  -0.3473964   0.0000704   0.0000441   0.0000920
  0.63  -0.2681280  -0.1586915   0.2312027  -0.3616139   0.0000696   0.0000417   0.0000952
  0.66  -0.2820149  -0.1605989   0.2406503  -0.3752927   0.0000774   0.0000443   0.0000958
  0.69  -0.2954604  -0.1625051   0.2508252  -0.3889187   0.0000763   0.0000435   0.0000971
  0.72  -0.3087975  -0.1634369   0.2619068  -0.4021252   0.0000797   0.0000429   0.0000974
  0.75  -0.3221517  -0.1629027   0.2686223  -0.4129103   0.0000773   0.0000405   0.0000954
  0.79  -0.3357093  -0.1615031   0.2770659  -0.4238303   0.0000814   0.0000404   0.0001036
  0.82  -0.3488987  -0.1601741   0.2866344  -0.4349267   0.0000845   0.0000395   0.0000973
  0.85  -0.3621936  -0.1561969   0.2930050  -0.4432620   0.0000796   0.0000366   0.0000943
  0.88  -0.3753705  -0.1524585   0.3014370  -0.4523651   0.0000837   0.0000374   0.0000993
  0.91  -0.3887471  -0.1462995   0.3070655  -0.4590529   0.0000883   0.0000366   0.0001038
  0.94  -0.4023143  -0.1390904   0.3128180  -0.4652091   0.0000898   0.0000349   0.0000999
  0.97  -0.4152524  -0.1306839   0.3182616  -0.4700447   0.0000908   0.0000343   0.0000995
  1.01  -0.4287904  -0.1196332   0.3215062  -0.4727845   0.0000963   0.0000348   0.0001065
  1.04  -0.4414417  -0.1094617   0.3273614  -0.4763894   0.0000948   0.0000333   0.0001062
  1.07  -0.4544425  -0.0968350   0.3316966  -0.4780839   0.0001030   0.0000324   0.0001125
  1.10  -0.4673300  -0.0829345   0.3352782  -0.4786024   0.0001004   0.0000326   0.0001078
  1.13  -0.4807991  -0.0623122   0.3321007  -0.4727744   0.0001060   0.0000325   0.0001154
  1.16  -0.4940839  -0.0452938   0.3358009  -0.4715188   0.0001063   0.0000327   0.0001090
  1.19  -0.5081821  -0.0150487   0.3247762  -0.4570793   0.0001078   0.0000356   0.0000998
  1.23  -0.5216264   0.0082380   0.3243596  -0.4503788   0.0001181   0.0000339   0.0001146
  1.26  -0.5335159   0.0350056   0.3202578  -0.4390928   0.0001139   0.0000377   0.0001119
  1.29  -0.5464099   0.0679074   0.3111825  -0.4227292   0.0001208   0.0000435   0.0001127
  1.32  -0.5593598   0.1098041   0.2941281  -0.3977465   0.0001267   0.0000479   0.0001140
  1.35  -0.5700198   0.1512936   0.2776578  -0.3717034   0.0001314   0.0000591   0.0001127
  1.38  -0.5776762   0.2032111   0.2487413  -0.3325572   0.0001419   0.0000685   0.0001108
  1.41  -0.5838766   0.2565337   0.2190177  -0.2912345   0.0001509   0.0000857   0.0001139
  1.45  -0.5835064   0.3086334   0.1860694  -0.2452718   0.0001374   0.0000947   0.0001027
  1.48  -0.5795250   0.3667884   0.1445047  -0.1899926   0.0001476   0.0001120   0.0000946
  1.51  -0.5648869   0.4270297   0.0915924  -0.1224356   0.0001315   0.0001182   0.0000846
  1.54  -0.5422691   0.4873311   0.0316559  -0.0471773   0.0001279   0.0001267   0.0000815
  1.57  -0.5167059   0.5313891  -0.0146833   0.0146833   0.0001211   0.0001326   0.0000800
  1.60  -0.4846000   0.5736746  -0.0659912   0.0813801   0.0001244   0.0001442   0.0000771
  1.63  -0.4438916   0.6077160  -0.1184095   0.1486861   0.0001135   0.0001483   0.0000810
  1.67  -0.4026877   0.6305648  -0.1612168   0.2056570   0.0000926   0.0001267   0.0000817
  1.70  -0.3534896   0.6441539  -0.2043822   0.2619036   0.0000862   0.0001265   0.0000902
  1.73  -0.3186263   0.6542152  -0.2303695   0.3005158   0.0000746   0.0001300   0.0000965
  1.76  -0.2825238   0.6563224  -0.2511233   0.3329068   0.0000662   0.0001186   0.0000913
  1.79  -0.2378352   0.6516953  -0.2757416   0.3678206   0.0000606   0.0001248   0.0001043
  1.82  -0.2102991   0.6489001  -0.2856636   0.3876219   0.0000568   0.0001229   0.0001031
  1.85  -0.1702462   0.6381334  -0.3028665   0.4128803   0.0000496   0.0001185   0.0001038
  1.88  -0.1408431   0.6291140  -0.3111272   0.4292230   0.0000442   0.0001060   0.0001022
  1.92  -0.1072968   0.6134592  -0.3196300   0.4439849   0.0000399   0.0001091   0.0001046
  1.95  -0.0796035   0.5989966  -0.3236703   0.4541522   0.0000392   0.0001087   0.0001078
  1.98  -0.0520624   0.5827691  -0.3273608   0.4629248   0.0000357   0.0001020   0.0001017
  2.01  -0.0374657   0.5716270  -0.3228942   0.4637390   0.0000352   0.0000983   0.0001048
  2.04  -0.0148571   0.5553867  -0.3240091   0.4683561   0.0000346   0.0001019   0.0001076
  2.07   0.0022369   0.5400515  -0.3199005   0.4681591   0.0000320   0.0000960   0.0001004
  2.10   0.0186397   0.5239453  -0.3156033   0.4669244   0.0000312   0.0000963   0.0001039
  2.14   0.0325795   0.5083909  -0.3110971   0.4643460   0.0000334   0.0000933   0.0001008
  2.17   0.0533484   0.4871803  -0.3107584   0.4639386   0.0000337   0.0000930   0.0001048
  2.20   0.0606032   0.4736600  -0.3012622   0.4565962   0.0000339   0.0000878   0.0000973
  2.23   0.0766263   0.4533472  -0.2986313   0.4528595   0.0000354   0.0000856   0.0000989
  2.26   0.0832604   0.4382949  -0.2895403   0.4442170   0.0000349   0.0000841   0.0001029
  2.29   0.0906997   0.4223598  -0.2817049   0.4359413   0.0000367   0.0000849   0.0001037
  2.32   0.0987027   0.4047904  -0.2738494   0.4269452   0.0000374   0.0000827   0.0000983
  2.36   0.1057857   0.3869969  -0.2654116   0.4169923   0.0000375   0.0000800   0.0000951
  2.39   0.1091229   0.3718564  -0.2576604   0.4065397   0.0000376   0.0000787   0.0000957
  2.42   0.1153010   0.3531709  -0.2495779   0.3955072   0.0000385   0.0000774   0.0000930
  2.45   0.1158997   0.3384938  -0.2392236   0.3826702   0.0000394   0.0000767   0.0000952
  2.48   0.1191678   0.3206614  -0.2301254   0.3699279   0.0000420   0.0000764   0.0000940
  2.51   0.1230611   0.3012320  -0.2206551   0.3564138   0.0000412   0.0000737   0.0000996
