heta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0577319      0.9786418      0.0000048     -0.0577319      0.0000318
  0.03      0.0556594      0.9797415      0.0000048     -0.0248972      0.0000327
  0.06      0.0536263      0.9798254      0.0000047      0.0079131      0.0000333
  0.09      0.0505137      0.9788545      0.0000048      0.0417901      0.0000320
  0.13      0.0481101      0.9765036      0.0000053      0.0748686      0.0000333
  0.16      0.0440967      0.9730893      0.0000061      0.1094758      0.0000333
  0.19      0.0407083      0.9685247      0.0000068      0.1433136      0.0000329
  0.22      0.0369020      0.9626044      0.0000078      0.1773549      0.0000313
  0.25      0.0324356      0.9553611      0.0000089      0.2118073      0.0000328
  0.28      0.0287427      0.9470587      0.0000101      0.2452148      0.0000334
  0.31      0.0238983      0.9374901      0.0000116      0.2794808      0.0000334
  0.35      0.0187626      0.9264087      0.0000122      0.3135861      0.0000329
  0.38      0.0134896      0.9140974      0.0000132      0.3474084      0.0000322
  0.41      0.0087571      0.9008121      0.0000139      0.3802743      0.0000307
  0.44      0.0029239      0.8857712      0.0000152      0.4135808      0.0000314
  0.47     -0.0019722      0.8701309      0.0000159      0.4455673      0.0000299
  0.50     -0.0071443      0.8532279      0.0000171      0.4772187      0.0000298
  0.53     -0.0099421      0.8364527      0.0000178      0.5062274      0.0000288
  0.57     -0.0128176      0.8187789      0.0000183      0.5347937      0.0000280
  0.60     -0.0141441      0.8010619      0.0000187      0.5615024      0.0000268
  0.63     -0.0148161      0.7827796      0.0000197      0.5870363      0.0000266
  0.66     -0.0136327      0.7648724      0.0000192      0.6105490      0.0000241
  0.69     -0.0112552      0.7470081      0.0000198      0.6325862      0.0000236
  0.72     -0.0079184      0.7290788      0.0000202      0.6533257      0.0000226
  0.75     -0.0042050      0.7108542      0.0000209      0.6733049      0.0000222
  0.79     -0.0003626      0.6921443      0.0000209      0.6926571      0.0000209
  0.82      0.0038874      0.6731732      0.0000219      0.7111778      0.0000207
  0.85      0.0081255      0.6535676      0.0000228      0.7290399      0.0000202
  0.88      0.0113896      0.6326864      0.0000230      0.7469184      0.0000193
  0.91      0.0133137      0.6103015      0.0000239      0.7650737      0.0000191
  0.94      0.0145549      0.5867779      0.0000254      0.7828682      0.0000189
  0.97      0.0140763      0.5613718      0.0000266      0.8009904      0.0000187
  1.01      0.0132420      0.5350799      0.0000276      0.8184377      0.0000182
  1.04      0.0102725      0.5065095      0.0000279      0.8362807      0.0000170
  1.07      0.0067466      0.4768507      0.0000293      0.8533839      0.0000169
  1.10      0.0020676      0.4456436      0.0000305      0.8700704      0.0000162
  1.13     -0.0027112      0.4138008      0.0000320      0.8857391      0.0000156
  1.16     -0.0079690      0.3809622      0.0000314      0.9004173      0.0000141
  1.19     -0.0125592      0.3482331      0.0000319      0.9136532      0.0000130
  1.23     -0.0184196      0.3139054      0.0000319      0.9262829      0.0000120
  1.26     -0.0235639      0.2797598      0.0000330      0.9372663      0.0000110
  1.29     -0.0286083      0.2453710      0.0000329      0.9471145      0.0000100
  1.32     -0.0328889      0.2113731      0.0000330      0.9554924      0.0000089
  1.35     -0.0373374      0.1769153      0.0000329      0.9626334      0.0000077
  1.38     -0.0411961      0.1428185      0.0000331      0.9685328      0.0000073
  1.41     -0.0444005      0.1091710      0.0000341      0.9731066      0.0000063
  1.45     -0.0471326      0.0758579      0.0000328      0.9765357      0.0000054
  1.48     -0.0510477      0.0412549      0.0000330      0.9788670      0.0000048
  1.51     -0.0535977      0.0079486      0.0000319      0.9799337      0.0000046
  1.54     -0.0559104     -0.0251467      0.0000333      0.9797953      0.0000046
  1.57     -0.0579940     -0.0579940      0.0000331      0.9786224      0.0000049
  1.60     -0.0599010     -0.0906113      0.0000307      0.9762778      0.0000055
  1.63     -0.0609947     -0.1223352      0.0000331      0.9730630      0.0000059
  1.67     -0.0628494     -0.1546942      0.0000318      0.9686519      0.0000065
  1.70     -0.0641144     -0.1863011      0.0000316      0.9631734      0.0000072
  1.73     -0.0649200     -0.2172813      0.0000324      0.9568617      0.0000084
  1.76     -0.0658979     -0.2482112      0.0000306      0.9494906      0.0000090
  1.79     -0.0668671     -0.2788774      0.0000303      0.9410971      0.0000098
  1.82     -0.0669531     -0.3084382      0.0000308      0.9320640      0.0000109
  1.85     -0.0674359     -0.3380633      0.0000302      0.9219081      0.0000118
  1.88     -0.0674421     -0.3668962      0.0000295      0.9109430      0.0000124
  1.92     -0.0662437     -0.3943066      0.0000289      0.8996684      0.0000132
  1.95     -0.0663052     -0.4224369      0.0000288      0.8868375      0.0000141
  1.98     -0.0661275     -0.4500437      0.0000275      0.8734837      0.0000143
  2.01     -0.0648359     -0.4762043      0.0000275      0.8597099      0.0000153
  2.04     -0.0619017     -0.5005319      0.0000268      0.8459989      0.0000159
  2.07     -0.0590762     -0.5245793      0.0000264      0.8315787      0.0000167
  2.10     -0.0561971     -0.5482056      0.0000244      0.8165672      0.0000163
  2.14     -0.0520266     -0.5703339      0.0000241      0.8016065      0.0000170
  2.17     -0.0467759     -0.5911814      0.0000232      0.7866783      0.0000171
  2.20     -0.0401993     -0.6106223      0.0000225      0.7720584      0.0000175
  2.23     -0.0333975     -0.6295115      0.0000215      0.7570709      0.0000176
  2.26     -0.0256291     -0.6472819      0.0000207      0.7422221      0.0000178
  2.29     -0.0178979     -0.6646685      0.0000203      0.7268542      0.0000184
  2.32     -0.0088224     -0.6806996      0.0000196      0.7119836      0.0000187
  2.36      0.0005796     -0.6961303      0.0000192      0.6969500      0.0000192
  2.39      0.0087569     -0.7120690      0.0000184      0.6806901      0.0000194
  2.42      0.0174138     -0.7272165      0.0000178      0.6643425      0.0000197
  2.45      0.0251089     -0.7425338      0.0000179      0.6468646      0.0000209
  2.48      0.0330062     -0.7573072      0.0000175      0.6291995      0.0000214
  2.51      0.0400323     -0.7721067      0.0000173      0.6104510      0.0000222
  2.54      0.0465636     -0.7868370      0.0000174      0.5910326      0.0000235
  2.58      0.0517306     -0.8018203      0.0000169      0.5701191      0.0000239
  2.61      0.0557819     -0.8167568      0.0000165      0.5478354      0.0000249
  2.64      0.0597509     -0.8312437      0.0000159      0.5251650      0.0000252
