theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0015565      0.1706297      0.0001286     -0.0015565      0.0001300
  0.03      0.0021179      0.1705577      0.0001282      0.0032411      0.0001307
  0.06      0.0018164      0.1698296      0.0001284      0.0088648      0.0001305
  0.09      0.0021309      0.1696568      0.0001286      0.0138969      0.0001302
  0.13      0.0020167      0.1692929      0.0001282      0.0193539      0.0001301
  0.16      0.0018899      0.1684943      0.0001285      0.0247734      0.0001316
  0.19      0.0018650      0.1672651      0.0001285      0.0300089      0.0001303
  0.22      0.0015331      0.1657595      0.0001286      0.0354807      0.0001312
  0.25      0.0017363      0.1650335      0.0001290      0.0405808      0.0001299
  0.28      0.0023446      0.1632887      0.0001280      0.0449982      0.0001303
  0.31      0.0019621      0.1614650      0.0001288      0.0504001      0.0001308
  0.35      0.0014773      0.1597040      0.0001284      0.0559268      0.0001310
  0.38      0.0017885      0.1575416      0.0001287      0.0604515      0.0001302
  0.41      0.0022560      0.1559022      0.0001280      0.0650067      0.0001302
  0.44      0.0017609      0.1536162      0.0001289      0.0703402      0.0001296
  0.47      0.0015602      0.1510491      0.0001286      0.0752123      0.0001300
  0.50      0.0011404      0.1484798      0.0001289      0.0803260      0.0001297
  0.53      0.0012454      0.1458520      0.0001292      0.0848098      0.0001298
  0.57      0.0013017      0.1429410      0.0001290      0.0891714      0.0001306
  0.60      0.0011983      0.1402015      0.0001287      0.0938320      0.0001299
  0.63      0.0010930      0.1365259      0.0001290      0.0978408      0.0001300
  0.66      0.0010127      0.1335113      0.0001294      0.1022803      0.0001304
  0.69      0.0010182      0.1298534      0.0001290      0.1061027      0.0001298
  0.72      0.0005500      0.1265834      0.0001288      0.1108650      0.0001293
  0.75      0.0000263      0.1225625      0.0001294      0.1150578      0.0001295
  0.79     -0.0002863      0.1186553      0.0001295      0.1190602      0.0001292
  0.82     -0.0003800      0.1149009      0.0001294      0.1229121      0.0001288
  0.85     -0.0001856      0.1111062      0.0001298      0.1263059      0.0001295
  0.88     -0.0007140      0.1063904      0.0001299      0.1297240      0.0001291
  0.91     -0.0005192      0.1028579      0.0001295      0.1334508      0.0001288
  0.94     -0.0008398      0.0983715      0.0001299      0.1368256      0.0001287
  0.97     -0.0009443      0.0938848      0.0001302      0.1398273      0.0001285
  1.01     -0.0012851      0.0890885      0.0001296      0.1427794      0.0001287
  1.04     -0.0012660      0.0845683      0.0001295      0.1454842      0.0001285
  1.07     -0.0014278      0.0799597      0.0001301      0.1484099      0.0001287
  1.10     -0.0013577      0.0755970      0.0001292      0.1513580      0.0001291
  1.13     -0.0021121      0.0699017      0.0001302      0.1535093      0.0001281
  1.16     -0.0013146      0.0659234      0.0001300      0.1556501      0.0001288
  1.19     -0.0018401      0.0605328      0.0001304      0.1578869      0.0001285
  1.23     -0.0016222      0.0557321      0.0001301      0.1595906      0.0001287
  1.26     -0.0022974      0.0502130      0.0001301      0.1619742      0.0001286
  1.29     -0.0021095      0.0451562      0.0001307      0.1629898      0.0001282
  1.32     -0.0019571      0.0402908      0.0001300      0.1647919      0.0001283
  1.35     -0.0018736      0.0351600      0.0001298      0.1658854      0.0001285
  1.38     -0.0019886      0.0299573      0.0001306      0.1676542      0.0001283
  1.41     -0.0023304      0.0243165      0.0001307      0.1684255      0.0001280
  1.45     -0.0019903      0.0193353      0.0001302      0.1689353      0.0001286
  1.48     -0.0015907      0.0144330      0.0001303      0.1695888      0.0001277
  1.51     -0.0013806      0.0093243      0.0001308      0.1701935      0.0001288
  1.54     -0.0015445      0.0037999      0.0001309      0.1700862      0.0001287
  1.57     -0.0017330     -0.0017330      0.0001309      0.1710244      0.0001275
  1.60     -0.0016196     -0.0069808      0.0001303      0.1705719      0.0001284
  1.63     -0.0012597     -0.0120076      0.0001306      0.1707929      0.0001280
  1.67     -0.0013722     -0.0174292      0.0001307      0.1698006      0.0001284
  1.70     -0.0012967     -0.0227544      0.0001300      0.1697733      0.0001280
  1.73     -0.0009558     -0.0277085      0.0001308      0.1688352      0.0001279
  1.76     -0.0010771     -0.0330786      0.0001304      0.1676557      0.0001288
  1.79     -0.0011621     -0.0384780      0.0001302      0.1668136      0.0001280
  1.82     -0.0013365     -0.0438502      0.0001301      0.1654111      0.0001282
  1.85     -0.0008675     -0.0485841      0.0001309      0.1641180      0.0001276
  1.88     -0.0006919     -0.0536088      0.0001306      0.1627516      0.0001287
  1.92     -0.0007574     -0.0587966      0.0001293      0.1610778      0.0001285
  1.95     -0.0003387     -0.0635150      0.0001308      0.1595004      0.0001287
  1.98     -0.0005118     -0.0686061      0.0001302      0.1572508      0.0001288
  2.01     -0.0009792     -0.0736601      0.0001302      0.1542359      0.0001282
  2.04     -0.0006982     -0.0782151      0.0001292      0.1519678      0.0001284
  2.07     -0.0002577     -0.0827638      0.0001299      0.1500119      0.0001287
  2.10     -0.0004843     -0.0875912      0.0001295      0.1471573      0.0001287
  2.14     -0.0002704     -0.0921197      0.0001304      0.1446528      0.0001288
  2.17     -0.0002780     -0.0963720      0.0001291      0.1413125      0.0001287
  2.20     -0.0001543     -0.1008940      0.0001300      0.1386061      0.0001291
  2.23     -0.0002048     -0.1050111      0.0001297      0.1350453      0.0001287
  2.26     -0.0001431     -0.1092523      0.0001305      0.1318388      0.0001294
  2.29     -0.0000342     -0.1133825      0.0001291      0.1285556      0.0001285
  2.32     -0.0004218     -0.1175021      0.0001304      0.1245109      0.0001298
  2.36     -0.0000955     -0.1212663      0.0001296      0.1211312      0.0001290
  2.39     -0.0001493     -0.1249702      0.0001290      0.1171500      0.0001297
  2.42      0.0000564     -0.1288129      0.0001288      0.1136390      0.0001288
  2.45     -0.0000949     -0.1320861      0.0001285      0.1091479      0.0001292
  2.48     -0.0000343     -0.1355540      0.0001284      0.1051031      0.0001298
  2.51      0.0001741     -0.1383968      0.0001286      0.1007664      0.0001296
  2.54      0.0004857     -0.1414181      0.0001287      0.0966950      0.0001292
  2.58      0.0003369     -0.1442994      0.0001288      0.0919742      0.0001299
  2.61      0.0000766     -0.1477016      0.0001281      0.0874395      0.0001302
  2.64      0.0003180     -0.1495760      0.0001291      0.0825929      0.0001303
  2.67      0.0005496     -0.1524494      0.0001286      0.0782937      0.0001301
  2.70      0.0004395     -0.1544499      0.0001284      0.0731643      0.0001294
  2.73      0.0009629     -0.1567034      0.0001284      0.0688608      0.0001304
  2.76      0.0002646     -0.1593085      0.0001285      0.0633593      0.0001299
  2.80      0.0004382     -0.1612782      0.0001283      0.0585294      0.0001302
  2.83      0.0006606     -0.1624190      0.0001290      0.0534677      0.0001300
  2.86      0.0010918     -0.1641724      0.0001282      0.0488334      0.0001302
  2.89      0.0009603     -0.1658432      0.0001282      0.0435727      0.0001302
  2.92      0.0008263     -0.1666797      0.0001279      0.0381040      0.0001298
  2.95      0.0010261     -0.1678456      0.0001283      0.0330628      0.0001303
  2.98      0.0012046     -0.1686432      0.0001286      0.0279301      0.0001302
  3.02      0.0015078     -0.1692781      0.0001284      0.0229046      0.0001306
  3.05      0.0011819     -0.1703195      0.0001288      0.0172871      0.0001300
  3.08      0.0013159     -0.1699782      0.0001276      0.0120126      0.0001305
  3.11      0.0014230     -0.1705304      0.0001286      0.0067828      0.0001309
  3.14      0.0016236     -0.1708944      0.0001285      0.0016236      0.0001305
-------------------------
----------------------
G=30, K=-60
hmag=500,  beta cooling each time, beta=1/1000
