theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  0.00  -0.0013458   0.0013458   0.0016017  -0.0005339   0.0000171   0.0000173   0.0000292
  0.03  -0.0128520  -0.0126275   0.0150133  -0.0219908   0.0000170   0.0000168   0.0000274
  0.06  -0.0256760  -0.0252451   0.0283322  -0.0433914   0.0000192   0.0000182   0.0000313
  0.09  -0.0395634  -0.0367295   0.0421148  -0.0649002   0.0000158   0.0000148   0.0000296
  0.13  -0.0517871  -0.0497732   0.0554679  -0.0861962   0.0000158   0.0000145   0.0000244
  0.16  -0.0662541  -0.0604186   0.0692078  -0.1075177   0.0000179   0.0000161   0.0000296
  0.19  -0.0792903  -0.0723260   0.0827692  -0.1286673   0.0000170   0.0000148   0.0000259
  0.22  -0.0944882  -0.0818283   0.0957394  -0.1494575   0.0000181   0.0000155   0.0000265
  0.25  -0.1078305  -0.0929466   0.1090381  -0.1701975   0.0000189   0.0000156   0.0000288
  0.28  -0.1225033  -0.1024513   0.1226648  -0.1908580   0.0000197   0.0000157   0.0000334
  0.31  -0.1354843  -0.1132462   0.1333553  -0.2102721   0.0000222   0.0000173   0.0000284
  0.35  -0.1502573  -0.1220181   0.1489265  -0.2311591   0.0000183   0.0000141   0.0000290
  0.38  -0.1649007  -0.1304466   0.1610179  -0.2505708   0.0000188   0.0000136   0.0000281
  0.41  -0.1793235  -0.1385806   0.1734495  -0.2697526   0.0000221   0.0000158   0.0000318
  0.44  -0.1944002  -0.1457051   0.1866639  -0.2889582   0.0000197   0.0000136   0.0000275
  0.47  -0.2093133  -0.1526396   0.2018173  -0.3085744   0.0000217   0.0000145   0.0000301
  0.50  -0.2239509  -0.1587918   0.2103850  -0.3252901   0.0000223   0.0000147   0.0000270
  0.53  -0.2392812  -0.1642089   0.2253540  -0.3441114   0.0000206   0.0000130   0.0000318
  0.57  -0.2537760  -0.1697400   0.2385854  -0.3618724   0.0000260   0.0000161   0.0000304
  0.60  -0.2687121  -0.1739279   0.2497118  -0.3783306   0.0000238   0.0000142   0.0000324
  0.63  -0.2835947  -0.1775011   0.2606964  -0.3942960   0.0000206   0.0000119   0.0000288
  0.66  -0.2987582  -0.1800324   0.2718258  -0.4098023   0.0000235   0.0000132   0.0000305
  0.69  -0.3134886  -0.1823379   0.2836359  -0.4250963   0.0000240   0.0000126   0.0000315
  0.72  -0.3284876  -0.1840475   0.2974803  -0.4408502   0.0000241   0.0000124   0.0000287
  0.75  -0.3431998  -0.1840837   0.3058189  -0.4534620   0.0000206   0.0000100   0.0000247
  0.79  -0.3583432  -0.1834487   0.3170393  -0.4668744   0.0000259   0.0000116   0.0000403
  0.82  -0.3730468  -0.1823756   0.3282444  -0.4796963   0.0000258   0.0000116   0.0000279
  0.85  -0.3883879  -0.1791295   0.3371975  -0.4907441   0.0000246   0.0000104   0.0000305
  0.88  -0.4032979  -0.1758208   0.3478833  -0.5020403   0.0000236   0.0000098   0.0000342
  0.91  -0.4183835  -0.1708851   0.3573070  -0.5119480   0.0000318   0.0000114   0.0000369
  0.94  -0.4339038  -0.1639118   0.3649998  -0.5202104   0.0000264   0.0000091   0.0000326
  0.97  -0.4493605  -0.1560361   0.3732680  -0.5280204   0.0000261   0.0000090   0.0000269
  1.01  -0.4654981  -0.1446769   0.3780398  -0.5327965   0.0000320   0.0000093   0.0000350
  1.04  -0.4813644  -0.1333525   0.3850964  -0.5381767   0.0000265   0.0000075   0.0000297
  1.07  -0.4971721  -0.1203364   0.3914467  -0.5421546   0.0000339   0.0000075   0.0000385
  1.10  -0.5134170  -0.1051989   0.3967436  -0.5446585   0.0000317   0.0000074   0.0000308
  1.13  -0.5302049  -0.0861936   0.3989768  -0.5439246   0.0000394   0.0000071   0.0000448
  1.16  -0.5463868  -0.0678592   0.4041169  -0.5442030   0.0000428   0.0000066   0.0000425
  1.19  -0.5667568  -0.0339563   0.3942019  -0.5318760   0.0000339   0.0000063   0.0000320
  1.23  -0.5834386  -0.0099346   0.3964817  -0.5277427   0.0000340   0.0000066   0.0000290
  1.26  -0.6012986   0.0212316   0.3932428  -0.5177923   0.0000359   0.0000074   0.0000335
  1.29  -0.6196286   0.0591654   0.3838997  -0.5016087   0.0000404   0.0000088   0.0000353
  1.32  -0.6389756   0.1073488   0.3665215  -0.4765917   0.0000451   0.0000116   0.0000399
  1.35  -0.6556584   0.1540916   0.3507703  -0.4513013   0.0000530   0.0000162   0.0000411
  1.38  -0.6724808   0.2162146   0.3203975  -0.4109766   0.0000506   0.0000189   0.0000365
  1.41  -0.6850541   0.2763711   0.2908041  -0.3693900   0.0000472   0.0000217   0.0000349
  1.45  -0.6937897   0.3402805   0.2557204  -0.3209129   0.0000614   0.0000321   0.0000390
  1.48  -0.6961548   0.4113162   0.2089329  -0.2595368   0.0000656   0.0000381   0.0000307
  1.51  -0.6874971   0.4906677   0.1446910  -0.1794499   0.0000588   0.0000427   0.0000281
  1.54  -0.6663759   0.5674360   0.0724351  -0.0901049   0.0000533   0.0000446   0.0000216
  1.57  -0.6355691   0.6321735   0.0033956  -0.0033956   0.0000568   0.0000515   0.0000190
  1.60  -0.5942233   0.6843123  -0.0635704   0.0812495   0.0000517   0.0000619   0.0000211
  1.63  -0.5370612   0.7281262  -0.1390469   0.1737257   0.0000629   0.0000840   0.0000305
