theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00     -0.0002370      0.0206639      0.0004230      0.0002370      0.0004249
  0.03      0.0008819      0.0210969      0.0004257     -0.0002193      0.0004240
  0.06      0.0013137      0.0208003      0.0004249     -0.0000076      0.0004304
  0.09      0.0007032      0.0208612      0.0004207      0.0012656      0.0004177
  0.13      0.0000523      0.0206334      0.0004235      0.0025539      0.0004233
  0.16      0.0002045      0.0215613      0.0004257      0.0032080      0.0004311
  0.19     -0.0001279      0.0210029      0.0004324      0.0041368      0.0004178
  0.22      0.0003326      0.0215513      0.0004219      0.0044765      0.0004241
  0.25      0.0017207      0.0218926      0.0004271      0.0038446      0.0004296
  0.28      0.0002691      0.0202164      0.0004232      0.0055932      0.0004184
  0.31      0.0008267      0.0209950      0.0004253      0.0059524      0.0004185
  0.35      0.0008039      0.0209343      0.0004240      0.0066824      0.0004297
  0.38     -0.0002771      0.0194302      0.0004244      0.0079909      0.0004269
  0.41      0.0001191      0.0201502      0.0004263      0.0085900      0.0004251
  0.44      0.0013368      0.0194814      0.0004269      0.0076898      0.0004277
  0.47      0.0010042      0.0187435      0.0004267      0.0084232      0.0004257
  0.50      0.0010592      0.0182445      0.0004296      0.0088212      0.0004209
  0.53      0.0018133      0.0187430      0.0004204      0.0089780      0.0004212
  0.57      0.0004909      0.0178332      0.0004248      0.0107359      0.0004283
  0.60      0.0004955      0.0171088      0.0004268      0.0110280      0.0004272
  0.63      0.0011736      0.0183307      0.0004264      0.0118675      0.0004267
  0.66      0.0005473      0.0174335      0.0004165      0.0128301      0.0004304
  0.69     -0.0004090      0.0160699      0.0004273      0.0138250      0.0004221
  0.72     -0.0003392      0.0160377      0.0004333      0.0145914      0.0004230
  0.75     -0.0007765      0.0139603      0.0004247      0.0141748      0.0004192
  0.79      0.0009252      0.0156343      0.0004196      0.0143259      0.0004248
  0.82      0.0010467      0.0153002      0.0004206      0.0147641      0.0004246
  0.85     -0.0001625      0.0143099      0.0004196      0.0164771      0.0004193
  0.88     -0.0002738      0.0137980      0.0004277      0.0171084      0.0004238
  0.91      0.0008295      0.0128405      0.0004201      0.0152004      0.0004318
  0.94      0.0000981      0.0115542      0.0004223      0.0157360      0.0004235
  0.97     -0.0002940      0.0120461      0.0004260      0.0182484      0.0004296
  1.01     -0.0017962      0.0094322      0.0004181      0.0182150      0.0004224
  1.04     -0.0004717      0.0099774      0.0004206      0.0177976      0.0004256
  1.07     -0.0025658      0.0081268      0.0004249      0.0201085      0.0004251
  1.10     -0.0002162      0.0091431      0.0004168      0.0184208      0.0004262
  1.13     -0.0001892      0.0087131      0.0004227      0.0189606      0.0004198
  1.16     -0.0003354      0.0080660      0.0004233      0.0194841      0.0004235
  1.19     -0.0005264      0.0069509      0.0004281      0.0189860      0.0004260
  1.23      0.0000850      0.0069817      0.0004215      0.0191416      0.0004286
