theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  0.00      0.0056243      0.0301594      0.0001698     -0.0056243      0.0001653
  0.03      0.0062974      0.0297413      0.0001704     -0.0053658      0.0001662
  0.06      0.0064797      0.0294617      0.0001690     -0.0046390      0.0001666
  0.09      0.0061425      0.0302654      0.0001682     -0.0033089      0.0001649
  0.13      0.0059903      0.0298114      0.0001695     -0.0022719      0.0001674
  0.16      0.0055379      0.0288642      0.0001679     -0.0010353      0.0001674
  0.19      0.0046631      0.0274578      0.0001678      0.0004907      0.0001676
  0.22      0.0047972      0.0270950      0.0001689      0.0011409      0.0001674
  0.25      0.0053765      0.0280329      0.0001686      0.0016468      0.0001663
  0.28      0.0052806      0.0266798      0.0001684      0.0022523      0.0001654
  0.31      0.0041168      0.0256805      0.0001688      0.0040154      0.0001664
  0.35      0.0051322      0.0265739      0.0001675      0.0041125      0.0001678
  0.38      0.0045867      0.0256034      0.0001680      0.0052039      0.0001671
  0.41      0.0055489      0.0257468      0.0001690      0.0050954      0.0001662
  0.44      0.0037679      0.0242275      0.0001679      0.0072364      0.0001653
  0.47      0.0044962      0.0251825      0.0001678      0.0077850      0.0001667
  0.50      0.0020834      0.0228005      0.0001687      0.0101572      0.0001668
  0.53      0.0030086      0.0229652      0.0001676      0.0100862      0.0001680
  0.57      0.0033566      0.0225830      0.0001676      0.0103561      0.0001661
  0.60      0.0026589      0.0218177      0.0001693      0.0116125      0.0001666
  0.63      0.0020824      0.0210598      0.0001674      0.0127268      0.0001671
  0.66      0.0026577      0.0211979      0.0001681      0.0130793      0.0001657
  0.69      0.0027165      0.0201559      0.0001699      0.0131488      0.0001671
  0.72      0.0007076      0.0181817      0.0001671      0.0150861      0.0001650
  0.75      0.0000055      0.0174994      0.0001701      0.0164254      0.0001667
  0.79      0.0009567      0.0174646      0.0001711      0.0161117      0.0001681
  0.82     -0.0002426      0.0158689      0.0001696      0.0172531      0.0001669
  0.85     -0.0000323      0.0161569      0.0001686      0.0183752      0.0001668
  0.88     -0.0017753      0.0134613      0.0001698      0.0190570      0.0001659
  0.91     -0.0004952      0.0146337      0.0001695      0.0196736      0.0001685
  0.94     -0.0014964      0.0129246      0.0001692      0.0203351      0.0001657
  0.97     -0.0016410      0.0121774      0.0001684      0.0208381      0.0001680
  1.01     -0.0014778      0.0115891      0.0001688      0.0210195      0.0001663
  1.04     -0.0029276      0.0097243      0.0001676      0.0221942      0.0001693
  1.07     -0.0024965      0.0100018      0.0001675      0.0233755      0.0001658
  1.10     -0.0028058      0.0086530      0.0001681      0.0231627      0.0001685
  1.13     -0.0041661      0.0072588      0.0001701      0.0252104      0.0001652
  1.16     -0.0030801      0.0073713      0.0001697      0.0247896      0.0001666
  1.19     -0.0049800      0.0048498      0.0001677      0.0257773      0.0001656
  1.23     -0.0040147      0.0048681      0.0001700      0.0253737      0.0001671
  1.26     -0.0050465      0.0034768      0.0001676      0.0270313      0.0001653
  1.29     -0.0043161      0.0031152      0.0001691      0.0261931      0.0001675
  1.32     -0.0059819      0.0008059      0.0001709      0.0271925      0.0001674
  1.35     -0.0056411      0.0002655      0.0001691      0.0270471      0.0001671
  1.38     -0.0056466     -0.0003689      0.0001672      0.0282007      0.0001668
  1.41     -0.0056001     -0.0010396      0.0001676      0.0292350      0.0001657
  1.45     -0.0054156     -0.0019534      0.0001685      0.0277463      0.0001669
  1.48     -0.0041615     -0.0015091      0.0001683      0.0282551      0.0001659
  1.51     -0.0048961     -0.0030479      0.0001679      0.0295314      0.0001665
  1.54     -0.0047326     -0.0038429      0.0001696      0.0283848      0.0001674
  1.57     -0.0062108     -0.0062108      0.0001688      0.0299133      0.0001647
  1.60     -0.0061878     -0.0071040      0.0001681      0.0290559      0.0001664
  1.63     -0.0057837     -0.0077039      0.0001696      0.0303390      0.0001664
  1.67     -0.0059821     -0.0088214      0.0001695      0.0297543      0.0001659
  1.70     -0.0062374     -0.0101214      0.0001688      0.0303533      0.0001656
  1.73     -0.0053735     -0.0100574      0.0001685      0.0291505      0.0001659
  1.76     -0.0056690     -0.0112709      0.0001695      0.0288304      0.0001662
  1.79     -0.0055277     -0.0123915      0.0001688      0.0300965      0.0001663
  1.82     -0.0058135     -0.0138348      0.0001701      0.0305065      0.0001669
  1.85     -0.0061123     -0.0151973      0.0001689      0.0304008      0.0001666
  1.88     -0.0047837     -0.0147014      0.0001696      0.0297659      0.0001677
  1.92     -0.0049665     -0.0158855      0.0001695      0.0294621      0.0001657
  1.95     -0.0034933     -0.0160537      0.0001690      0.0310576      0.0001655
  1.98     -0.0045503     -0.0180795      0.0001687      0.0303217      0.0001666
  2.01     -0.0054036     -0.0191934      0.0001701      0.0280970      0.0001652
