theta 	 taux 	 tauy 	  tauz  	 tau_perp 	  mx error	 my error 	 mz error
  0.00  -0.0010624   0.0010624   0.0015522  -0.0005174   0.0000218   0.0000228   0.0000314
  0.03  -0.0169366  -0.0083028   0.0046384  -0.0183724   0.0000222   0.0000218   0.0000296
  0.06  -0.0344811  -0.0159216   0.0073817  -0.0360623   0.0000247   0.0000228   0.0000317
  0.09  -0.0543210  -0.0211116   0.0099121  -0.0535924   0.0000200   0.0000176   0.0000325
  0.13  -0.0705808  -0.0296949   0.0139380  -0.0714965   0.0000221   0.0000186   0.0000281
  0.16  -0.0905344  -0.0342547   0.0166084  -0.0887289   0.0000202   0.0000171   0.0000317
  0.19  -0.1078690  -0.0411664   0.0213242  -0.1064650   0.0000209   0.0000165   0.0000278
  0.22  -0.1284214  -0.0442885   0.0218004  -0.1224067   0.0000239   0.0000177   0.0000296
  0.25  -0.1453467  -0.0506957   0.0249865  -0.1390238   0.0000256   0.0000175   0.0000305
  0.28  -0.1643076  -0.0544383   0.0278451  -0.1551123   0.0000268   0.0000183   0.0000353
  0.31  -0.1812596  -0.0594550   0.0282787  -0.1699027   0.0000303   0.0000188   0.0000279
  0.35  -0.1986188  -0.0638591   0.0352879  -0.1867479   0.0000247   0.0000153   0.0000310
  0.38  -0.2165725  -0.0664482   0.0359351  -0.2006588   0.0000233   0.0000140   0.0000315
  0.41  -0.2336676  -0.0690356   0.0383449  -0.2145838   0.0000278   0.0000152   0.0000339
  0.44  -0.2504926  -0.0712686   0.0412281  -0.2282502   0.0000268   0.0000145   0.0000284
  0.47  -0.2672104  -0.0728280   0.0466866  -0.2422545   0.0000292   0.0000143   0.0000320
  0.50  -0.2840038  -0.0723516   0.0436868  -0.2521326   0.0000310   0.0000149   0.0000290
  0.53  -0.2998523  -0.0727030   0.0488490  -0.2646532   0.0000288   0.0000127   0.0000336
  0.57  -0.3144394  -0.0733961   0.0530739  -0.2762482   0.0000324   0.0000148   0.0000307
  0.60  -0.3291557  -0.0717331   0.0530835  -0.2849537   0.0000305   0.0000127   0.0000335
  0.63  -0.3429253  -0.0701948   0.0547529  -0.2936644   0.0000276   0.0000098   0.0000302
  0.66  -0.3564543  -0.0669212   0.0542049  -0.3003186   0.0000327   0.0000120   0.0000309
  0.69  -0.3683922  -0.0650577   0.0577660  -0.3082219   0.0000313   0.0000108   0.0000330
  0.72  -0.3800497  -0.0618199   0.0613172  -0.3150189   0.0000323   0.0000095   0.0000280
  0.75  -0.3904605  -0.0576548   0.0610492  -0.3190933   0.0000267   0.0000081   0.0000251
  0.79  -0.4005564  -0.0519684   0.0611689  -0.3220728   0.0000317   0.0000098   0.0000406
  0.82  -0.4092759  -0.0480908   0.0652847  -0.3266727   0.0000350   0.0000087   0.0000274
  0.85  -0.4173553  -0.0409024   0.0642882  -0.3269345   0.0000322   0.0000086   0.0000322
  0.88  -0.4241244  -0.0340036   0.0649403  -0.3270654   0.0000338   0.0000090   0.0000353
  0.91  -0.4300036  -0.0277374   0.0679282  -0.3278034   0.0000369   0.0000093   0.0000348
  0.94  -0.4346857  -0.0182750   0.0656304  -0.3238506   0.0000315   0.0000079   0.0000330
  0.97  -0.4383299  -0.0095099   0.0659287  -0.3205361   0.0000337   0.0000075   0.0000256
  1.01  -0.4407440   0.0011444   0.0639821  -0.3143938   0.0000327   0.0000087   0.0000302
  1.04  -0.4415849   0.0116340   0.0627958  -0.3075659   0.0000322   0.0000090   0.0000297
  1.07  -0.4412573   0.0217419   0.0632496  -0.3007602   0.0000326   0.0000089   0.0000343
  1.10  -0.4390065   0.0332660   0.0613124  -0.2909311   0.0000351   0.0000112   0.0000293
  1.13  -0.4345415   0.0459921   0.0571920  -0.2780969   0.0000376   0.0000121   0.0000358
  1.16  -0.4311016   0.0557200   0.0604750  -0.2704127   0.0000399   0.0000110   0.0000326
  1.19  -0.4252947   0.0750863   0.0500933  -0.2501700   0.0000334   0.0000133   0.0000309
  1.23  -0.4177715   0.0854806   0.0513037  -0.2386285   0.0000344   0.0000138   0.0000310
  1.26  -0.4088182   0.0980185   0.0501672  -0.2239222   0.0000300   0.0000153   0.0000344
  1.29  -0.3982782   0.1126113   0.0461613  -0.2058317   0.0000320   0.0000185   0.0000347
  1.32  -0.3861777   0.1288774   0.0402550  -0.1849519   0.0000334   0.0000156   0.0000364
  1.35  -0.3722878   0.1423740   0.0371501  -0.1656592   0.0000332   0.0000207   0.0000376
  1.38  -0.3557131   0.1585927   0.0292527  -0.1411645   0.0000366   0.0000222   0.0000358
  1.41  -0.3390560   0.1716301   0.0260608  -0.1203042   0.0000307   0.0000198   0.0000379
  1.45  -0.3239632   0.1856427   0.0240837  -0.1002415   0.0000314   0.0000221   0.0000389
  1.48  -0.3057201   0.1989222   0.0204732  -0.0780230   0.0000329   0.0000232   0.0000362
  1.51  -0.2817985   0.2120577   0.0118772  -0.0504529   0.0000260   0.0000223   0.0000348
  1.54  -0.2632635   0.2281162   0.0060656  -0.0254534   0.0000253   0.0000269   0.0000370
  1.57  -0.2410033   0.2399892   0.0010141  -0.0010141   0.0000277   0.0000268   0.0000331
  1.60  -0.2198270   0.2507046  -0.0018068   0.0211873   0.0000305   0.0000309   0.0000263
  1.63  -0.1942411   0.2631017  -0.0109159   0.0495457   0.0000284   0.0000350   0.0000356
